file;SampleID;sample_name;condition;replicate
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241220_CultBatch2\P2024-21_UAH_BelenPC3andEV_cultbatch2_rep5_1_500ng_Slot1-5_1_10756;P2024-21_UAH_BelenPC3andEV_cultbatch2_rep5_1_500ng_Slot1-5_1_10756;PC3andEV_Cultbatch2_rep5;EV;5
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241220_CultBatch2\P2024-21_UAH_BelenPC3andEV_cultbatch2_rep6_1_500ng_Slot1-6_1_10766;P2024-21_UAH_BelenPC3andEV_cultbatch2_rep6_1_500ng_Slot1-6_1_10766;PC3andEV_Cultbatch2_rep6;EV;6
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241220_CultBatch2\P2024-21_UAH_BelenPC3andEV_cultbatch3_rep1_1_500ng_Slot1-24_1_10777;P2024-21_UAH_BelenPC3andEV_cultbatch3_rep1_1_500ng_Slot1-24_1_10777;PC3andEV_Cultbatch3_rep1;EV;1
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241220_CultBatch2\P2024-21_UAH_BelenPC3andEV_cultbatch3_rep2_1_500ng_Slot1-25_1_10781;P2024-21_UAH_BelenPC3andEV_cultbatch3_rep2_1_500ng_Slot1-25_1_10781;PC3andEV_Cultbatch3_rep2;EV;2
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241220_CultBatch2\P2024-21_UAH_BelenPC3andEV_cultbatch3_rep3_1_500ng_Slot1-26_1_10785;P2024-21_UAH_BelenPC3andEV_cultbatch3_rep3_1_500ng_Slot1-26_1_10785;PC3andEV_Cultbatch3_rep3;EV;3
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241220_CultBatch2\P2024-21_UAH_BelenPC3andEV_cultbatch3_rep4_1_500ng_Slot1-27_1_10791;P2024-21_UAH_BelenPC3andEV_cultbatch3_rep4_1_500ng_Slot1-27_1_10791;PC3andEV_Cultbatch3_rep4;EV;4
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241220_CultBatch2\P2024-21_UAH_BelenPC3andEV_cultbatch3_rep5_1_500ng_Slot1-28_1_10795;P2024-21_UAH_BelenPC3andEV_cultbatch3_rep5_1_500ng_Slot1-28_1_10795;PC3andEV_Cultbatch3_rep5;EV;5
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241220_CultBatch2\P2024-21_UAH_BelenPC3andEV_cultbatch3_rep6_1_500ng_Slot1-29_1_10799;P2024-21_UAH_BelenPC3andEV_cultbatch3_rep6_1_500ng_Slot1-29_1_10799;PC3andEV_Cultbatch3_rep6;EV;6
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241202_CultBatch1\P2024-21_UAH_BelenPC3andshTRPV1_cultbatch1_rep1_1_500ng_Slot1-22_1_10405;P2024-21_UAH_BelenPC3andshTRPV1_cultbatch1_rep1_1_500ng_Slot1-22_1_10405;PC3andshTRPV1_Cultbatch1_rep1;shTRPV1;1
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241202_CultBatch1\P2024-21_UAH_BelenPC3andshTRPV1_cultbatch1_rep2_1_500ng_Slot1-23_1_10413;P2024-21_UAH_BelenPC3andshTRPV1_cultbatch1_rep2_1_500ng_Slot1-23_1_10413;PC3andshTRPV1_Cultbatch1_rep2;shTRPV1;2
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241202_CultBatch1\P2024-21_UAH_BelenPC3andshTRPV1_cultbatch1_rep3_1_500ng_Slot1-24_1_10424;P2024-21_UAH_BelenPC3andshTRPV1_cultbatch1_rep3_1_500ng_Slot1-24_1_10424;PC3andshTRPV1_Cultbatch1_rep3;shTRPV1;3
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241202_CultBatch1\P2024-21_UAH_BelenPC3andshTRPV1_cultbatch1_rep4_1_500ng_Slot1-25_1_10432;P2024-21_UAH_BelenPC3andshTRPV1_cultbatch1_rep4_1_500ng_Slot1-25_1_10432;PC3andshTRPV1_Cultbatch1_rep4;shTRPV1;4
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241202_CultBatch1\P2024-21_UAH_BelenPC3andshTRPV1_cultbatch1_rep5_1_500ng_Slot1-26_1_10442;P2024-21_UAH_BelenPC3andshTRPV1_cultbatch1_rep5_1_500ng_Slot1-26_1_10442;PC3andshTRPV1_Cultbatch1_rep5;shTRPV1;5
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241220_CultBatch2\P2024-21_UAH_BelenPC3andshTRPV1_cultbatch2_rep1_1_500ng_Slot1-13_1_10724;P2024-21_UAH_BelenPC3andshTRPV1_cultbatch2_rep1_1_500ng_Slot1-13_1_10724;PC3andshTRPV1_Cultbatch2_rep1;shTRPV1;1
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241220_CultBatch2\P2024-21_UAH_BelenPC3andshTRPV1_cultbatch2_rep2_1_500ng_Slot1-14_1_10734;P2024-21_UAH_BelenPC3andshTRPV1_cultbatch2_rep2_1_500ng_Slot1-14_1_10734;PC3andshTRPV1_Cultbatch2_rep2;shTRPV1;2
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241220_CultBatch2\P2024-21_UAH_BelenPC3andshTRPV1_cultbatch2_rep3_1_500ng_Slot1-15_1_10742;P2024-21_UAH_BelenPC3andshTRPV1_cultbatch2_rep3_1_500ng_Slot1-15_1_10742;PC3andshTRPV1_Cultbatch2_rep3;shTRPV1;3
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241220_CultBatch2\P2024-21_UAH_BelenPC3andshTRPV1_cultbatch2_rep4_1_500ng_Slot1-16_1_10752;P2024-21_UAH_BelenPC3andshTRPV1_cultbatch2_rep4_1_500ng_Slot1-16_1_10752;PC3andshTRPV1_Cultbatch2_rep4;shTRPV1;4
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241220_CultBatch2\P2024-21_UAH_BelenPC3andshTRPV1_cultbatch2_rep5_1_500ng_Slot1-17_1_10762;P2024-21_UAH_BelenPC3andshTRPV1_cultbatch2_rep5_1_500ng_Slot1-17_1_10762;PC3andshTRPV1_Cultbatch2_rep5;shTRPV1;5
C:\DATA_TRANSFER\Spain\P2024-21_Core_UAH_BelenS\20241220_CultBatch2\P2024-21_UAH_BelenPC3andshTRPV1_cultbatch2_rep6_1_500ng_Slot1-18_1_10770;P2024-21_UAH_BelenPC3andshTRPV1_cultbatch2_rep6_1_500ng_Slot1-18_1_10770;PC3andshTRPV1_Cultbatch2_rep6;shTRPV1;6
