Protein.Group;DMSO_cultbatch1_rep1;DMSO_cultbatch1_rep2;DMSO_cultbatch1_rep3;DMSO_cultbatch1_rep4;DMSO_cultbatch1_rep5;DMSO_cultbatch1_rep6;DMSO_cultbatch2_rep1;DMSO_cultbatch2_rep2;DMSO_cultbatch2_rep3;DMSO_cultbatch2_rep4;DMSO_cultbatch2_rep5;DMSO_cultbatch2_rep6;CAP_cultbatch1_rep1;CAP_cultbatch1_rep2;CAP_cultbatch1_rep3;CAP_cultbatch1_rep4;CAP_cultbatch1_rep5;CAP_cultbatch1_rep6;CAP_cultbatch2_rep1;CAP_cultbatch2_rep2;CAP_cultbatch2_rep3;CAP_cultbatch2_rep4;CAP_cultbatch2_rep5;CAP_cultbatch2_rep6
Q86UE4;123193;124569;103741;103621;102798;102931;165349;186368;178285;167123;173702;172587;111081;104757;92363;101693;103569;106434;175491;191854;175482;167443;178538;174580
Q86UE8;6715.96;6367.48;9084.47;8905.02;9474.64;6669.15;2112.59;;3500.31;2857.23;1485.08;2118.82;6014.92;6269.16;8771.45;7912.27;5827.45;6295.9;3329.05;1919.64;2641.54;2242.44;3128.59;
Q86UK7;16130.5;17433.1;13990.4;13260.6;14178.1;15132.5;17732.3;18172.8;15396.5;17008.5;19533.3;17892.8;16019.1;17809.7;16823.6;12305.4;14674.2;14856.3;17012.7;17562;18217.4;19629.5;19411.3;18263.4
Q86UP2;105950;101683;96009.5;91286.7;90609.7;95935.5;104796;96437.6;105023;105389;106023;107496;106735;104544;94512.9;89523.9;86707.2;92903;90713.4;97220.7;93094.5;95799.7;96674.2;97259.6
Q86UP3;;;;;;;;;;;;;;;;477.619;;;;;;;;
Q86UU0;1455.28;3103.07;2179.79;2246.13;1708.59;2481.45;3304.33;2766.55;4884;3936.56;3895.12;4762.79;1499.46;1735.17;;2435.34;2075.73;1388.89;2945.57;2574.56;2369.83;4555.91;3239.5;
Q86UU1;4117.42;4209.65;2244.88;2444.51;2386.94;2634.87;4719.83;1591.82;3494.75;4413.49;4279.19;3461.2;3255.78;2215.77;2569.81;1535.13;;1269.95;3132.43;1967.01;3791.72;2517.85;2527.71;3424.76
Q86UV5;2330.24;2016.41;4071.16;5604.7;4738.84;1404.34;1853.25;5377.77;3022.78;3116.65;;2931.18;2861.53;1962.23;;5410.87;1523.46;1364.89;3185.46;2934.84;5157;4178.96;4022.62;5042.71
Q86UY6;5082.7;7115.53;4223.16;6770.75;6164.88;7716.94;;;7307.78;6763;7193.29;9620.56;;4068.31;3488.9;4714.01;3075.3;3607.87;3606.6;4984.18;5638.08;5337.36;;
Q86UY8;25450.7;23120.3;27049.2;29113.7;26113.4;25275.1;10179.8;16703.2;12856.1;13583.7;19274;13570;22815.3;22500.4;21338.4;27126.1;24120.9;24429.6;17943.1;10542.9;17690.6;12368.1;15451.7;16245.1
Q86V21;31309.2;32312;21866.6;21019.5;20111.3;31350.5;25492.8;29730.9;27733.3;28174.6;29185.1;28242;29985.4;27195.3;16902.7;14372.3;18592.6;22906.8;33072.3;27879;31778.7;25431.8;26778.2;28430.7
Q86V48;34478.5;33098.2;28687.5;31014.9;29792.9;28566;32723;27816.1;33237.6;31793.8;27058.5;26695.9;29890;28640;26224.4;24634.8;26206.3;24568.1;24015.8;23970.2;22098.2;23563.6;25946.7;23498.3
Q86V81;203676;210098;143999;148297;154379;153226;310281;451581;293084;289353;341248;275152;196257;206899;140677;145315;146581;130740;208714;252029;235643;264015;252305;273799
Q86V85;9201.49;8824.27;7908.11;8500.58;8808.34;7552.42;6562.83;6138;6284.76;8583.95;8304.73;9638.5;8280.42;7242.13;7627.64;7665.87;8322.41;7633.41;7458.24;6864.76;5866.45;5139.37;5581.27;6405.03
Q86V88;14217.5;13652.5;13555.2;10502.2;4955.19;16237.1;18516;15591.3;18922.8;16417.2;17602.9;15670.7;13121.4;16888.4;25280.6;16464.4;17941.8;12872.4;19855.8;18447.4;21207.4;23382.3;19859.3;23352.4
Q86VD7;;;;;;;;;;;;;;;;;;;;;;;;
Q86VI3;11821.9;8961.08;11230.1;10926;8472.58;9278.16;17824.3;17685.9;15246.3;17464.2;18800.8;17846.3;8995.67;7492.14;4392.73;8483.48;5766.53;7017.1;10897.3;11495.4;11585.4;10936.4;12964.9;14376.8
