Protein.Group;DMSO_cultbatch1_rep1;DMSO_cultbatch1_rep2;DMSO_cultbatch1_rep3;DMSO_cultbatch1_rep4;DMSO_cultbatch1_rep5;DMSO_cultbatch1_rep6;DMSO_cultbatch2_rep1;DMSO_cultbatch2_rep2;DMSO_cultbatch2_rep3;DMSO_cultbatch2_rep4;DMSO_cultbatch2_rep5;DMSO_cultbatch2_rep6;CAP_cultbatch1_rep1;CAP_cultbatch1_rep2;CAP_cultbatch1_rep3;CAP_cultbatch1_rep4;CAP_cultbatch1_rep5;CAP_cultbatch1_rep6;CAP_cultbatch2_rep1;CAP_cultbatch2_rep2;CAP_cultbatch2_rep3;CAP_cultbatch2_rep4;CAP_cultbatch2_rep5;CAP_cultbatch2_rep6
A0A0B4J2A2;19859.8;19682.1;59882.3;67351;63968.2;38920.2;;;4038.29;;;;15302.8;34533.9;89447;79552.8;71012.9;47138.6;1371.44;;;;;
A0A0B4J2F0;7009.85;4972.7;3614.31;4167.64;4078.82;;11085.3;12259;11703.4;;8250.53;14746.8;7177.81;7015.64;4486.29;4906.22;2610.95;4638.59;;15035.6;13716.3;14016.8;10203.4;10756.9
A0A1W2PR48;33903.4;;10989.4;;;18465.1;;;;;;;41913.5;33001.9;;7878.24;;12855.7;;;;;;
A0AV96;;;669.049;783.616;;868.516;5317.25;;3904.65;3443.62;1859.01;3293.33;826.559;;624.382;667.665;850.3;1314.92;2612.48;3604.06;3686.17;1949.06;1696.09;1751.25
A0AVT1;97082.6;97793.3;74876.1;79274.3;76792.7;84928;95485.8;88097.7;96334.5;96432.7;102183;102485;101765;91392.3;77688.4;79660.3;80255.4;87073.2;105236;105570;100739;103022;109453;101506
A0FGR8;32293.1;32993.6;24392.7;24670;24360.8;25639;36003.5;37883.6;39552.1;40906.8;43404.8;38503.1;33096.1;31500.1;22945.7;24103.4;21030.8;28972.5;34845.7;35954.9;34823.5;37353.5;37012.9;36913.2
A0JNW5;5643.47;6687.38;6788.31;7430.67;7640.01;5610.87;5367.06;;5837.46;5971.46;4170.52;5430.01;5927.66;7847.87;7848.59;6124.42;6615.21;6903.26;4731.69;4271.71;4550.5;3750.58;6175.66;4543.82
A0MZ66;30383.9;28989.6;24053.8;23285.2;24778;24962.3;38241.4;45894;37849.3;37319.5;40206.5;37608.4;27360.8;28085.4;22993.1;21262.5;23360.5;22904.6;32454.8;33827.3;31911.7;32613;34122.9;33797.9
A1KXE4;5573.17;6751.07;2887.15;4770.21;4187.35;4255.04;14328.5;16131.3;14949.4;13707.2;12912.5;15035.6;3836.58;3748.43;2370.09;2415.82;3228.56;3333.8;5106.85;7075.36;6674.21;8523.22;7260.25;4859.73
A1L0T0;24255.4;18827.5;25117;27513.6;27406.3;24112.2;19320.5;27061.1;24937.7;24442.4;11361.9;26394;23124.2;23618.5;28522;30839.3;26552.4;29711.1;27057;22017.4;17967;23455.2;20288.1;19053.7
A1X283;6521.54;7153.72;6252.72;5993.7;6685.93;6644.62;10165.8;5706.57;8281.01;9124.14;6978.78;6043.15;6756.03;6675.44;4702.1;6358.53;7291.53;6702.56;6037.27;6707.29;5749.09;7436.22;7569.03;5668.09
A2RRP1;6433.04;7834.12;6754.8;9363.07;8898.63;7809.27;4375.81;4997.81;5387.27;5181.9;5541.21;4921.93;9243.37;7542.05;7156.02;8549.11;9114.92;9605.75;6394.94;5463.98;7047.31;5669.51;5978.81;6566.2
A2RTX5;1898.34;1471.83;;;435.988;1425.75;2194.68;;2872.43;2395.78;3622.09;;1870.42;2087;;;;1035.83;2091.71;3495.37;3688.84;3790.73;1864.77;3781.07
A3KMH1;13923.4;14220.3;9781.16;10344.5;12005.5;14897.2;13221.1;10663.6;13273.7;15193.7;13402.8;14425.5;15048.3;15142.2;12096.6;11159.2;12631.6;13262;17703.2;14846.4;14852.8;16119.6;17334.6;18483
A3KN83;10525.8;10567.3;6804.62;5195.05;5226.61;6646.84;14324;13286.9;14433.5;12792.5;13042.8;15602.1;5625.79;5696.58;3533.62;5510.31;3251.13;3675.5;8987.86;8193.94;8661.17;8635.99;8982.29;7342.11
A4D1P6;13869.3;15172.6;10564.3;10061.2;11185.9;13095;6746.13;6750.79;7655.43;7290.74;6794.87;7624.63;11787.7;10186.4;10906;9561.04;10639.7;13068.9;7502.26;6471.47;5473.61;6898.44;6793.35;6805.55
A4FU69;88778.2;;;19433.7;;;83868.8;;;;84586.5;88921;;;;10609.7;;;98809.6;;107106;;121776;
A5A3E0;81828.4;78426.6;81679;88562.6;70443.4;81963.5;126823;61850.3;104653;87847.9;64790;100483;105004;100496;79637.1;82682.7;66984.5;72428.3;70956.3;90169.3;80593.6;90890.4;95707.1;79791.8
A5D8V6;18443.5;18496.9;11518.6;12268.5;10143.8;15573.5;20260.4;19132.5;14998.2;13965;17361.4;13061.1;19877.7;17205.6;10947.7;7300.32;8841.25;11308.8;10645.8;15434.7;13876.6;13365.4;13231.9;11149.4
A5YKK6;36248.9;36384.3;32556.5;32681.2;26893.5;30848.3;33582.3;34315.5;39126.8;41737.7;46479.6;33697.6;36228.5;32755.7;31649.6;31976;32149.4;31009.3;45471.2;39072.1;37677.6;35900;36277.7;34531.8
A6NCE7;16044.1;16252.1;7132;6067.39;5573.25;12458.6;31631;46300.4;30401.4;28486.5;37231.8;27042.3;23676.2;20499.5;7402.15;45412.3;6203.96;9896.69;24276.7;22133.1;27049.3;25442;24557.8;28317.2
A6NDG6;31610.1;30584.3;26852.7;26180.5;24425.7;28200;37165.5;43014.1;34052.2;37232.4;37572.4;35978.8;30324.5;32091.7;26983.8;25833.4;26188.6;24718.3;31892.8;37512.1;39965.1;38029.9;39068.6;44118.6
A6NDU8;3870.7;1710.76;4901.59;6371.09;4883.18;3242.91;2334.82;2544.77;4088.04;5200.2;1466.96;5443.35;2593.75;2134.82;2632.57;6019.81;3798.54;2603.04;1066.19;2551.99;1772.07;4597.43;3414.12;3389.24
A6NFQ2;5953;7011.24;3098.99;4312.98;3851.75;4092.28;7754.48;5794.92;7478.15;9243.73;11444.3;10558.9;4494.04;4506.52;3767.72;3884.52;1799.41;3232.84;6241.46;4853.56;5915.21;6694.41;5514.1;6461.4
A6NHR9;45740.6;45326.2;38677.8;42722.3;42786;41387.2;45420.9;47136.7;48078.1;47328.9;49461.9;47601.4;55383.8;52624.6;33274.7;30263.3;31122.7;39064.9;51233.5;53834.9;48721.1;50479.9;55133.3;48044
A6NIH7;33473.2;34146.4;22605;19347.8;18885.6;27159.6;23451.4;21539.4;21785.8;21183.3;25065.9;22135.1;33476.1;31198.6;20156.5;12697.7;17124.4;20804;24176.8;20632.4;22897.2;20887.8;23737;25565.2
A6NJ78;4336.73;4260.92;4747.74;6281.01;3829.91;3422.08;5681.24;5107;3809.82;4687.78;;4698.41;2457.14;4533.96;3761.13;4855.62;3640.84;4312.31;3615.62;3083.55;1052.93;3482.18;3520.15;4980.89
A6NKD9;3410.61;3261.03;6123.43;;492.618;1391.7;2173.12;2811.14;2090.97;;835.886;;;1785.9;;;;6677.15;;1016.68;1341.18;;;
A7E2V4;28512;26440.8;17568;15177;16209.2;24170.6;19640;20990.2;22479.2;20668.5;19821.7;22720.5;15522.8;16066;16047.4;12083.8;15441.3;18650.2;13283.3;13303.2;4127.09;11465.5;15379.9;11919.8
A8CG34;7951.16;7515.67;10015.9;11719.3;12267.1;12782.7;13980.2;14287.7;13690.4;12157.4;9198.88;11704;12764.8;12766.2;9307.56;11720.7;12811.9;13026.4;10883;6872.41;11035.6;10592;10700.8;10300.7
A8MWD9;140580;131373;84438.8;82150;76103.8;95433.6;106816;63513.2;99795.9;77209.5;71864.2;104631;114129;111317;79924.6;69121.7;78117.5;75978.6;86856.6;106951;80099.7;86115.1;71000.6;67703.4
B7ZAQ6;19568.8;24612;22868;24635.5;22430.3;24964.6;8706.25;12056.7;12893.2;10675.3;;;19330.5;20551.8;20199;22212.6;23198.2;21774.7;;10094.4;13742.6;;9608.01;
B7ZBB8;744.552;;1026.83;1105.43;1418.89;1033.99;1873.12;;691.539;;;;1107.2;816.206;1305.12;944.763;863.763;999.133;;;;;;
B7ZW38;;;2526.65;3453.15;1949.58;;11637.8;6946.16;14506.9;14589.3;1460.22;12865;;;3603.2;4565.75;1329.71;;2771.56;15745.2;6603.13;13876.7;12924.1;7380.14
B9A064;;;;;;;;;;;;;;;;;;;;;;;;7590.49
C4AMC7;18800.7;19260.1;14806.3;14019.7;13184;14955.6;11531.3;12469.9;12602.9;12005.8;10089.8;11206.4;17076.7;17599.6;12760.1;14665.3;13471.1;16966.3;11199.3;10623.6;11438.4;11973;12792.5;10695.1
C9JLW8;20125.3;22919.8;13654.5;14551.9;13097;14778.9;17434.4;17638.2;14623.1;15732.4;16471.8;15018.8;16505.2;15157.3;10065.2;10714.2;11964.8;9631;10781.9;12875;11615.2;12204.1;13109.2;13094.1
E9PAV3;333340;344685;294547;275094;265661;282141;371984;365457;337593;303742;342573;338216;273334;271620;214662;243758;283110;243150;272468;321674;316797;304276;302612;287811
E9PRG8;17692;16717.5;12775;10596;10173.3;15169.4;22460.7;14792.7;17514.9;17062.3;18136.8;16632.5;21700.9;18409.1;11841.1;10773.4;10842.5;13304.9;13313.2;14963.8;17202.1;15488;16755.3;14385.1
L0R6Q1;27201.5;27458.5;27146.2;26840.4;26319;26402.1;33905.9;31713.1;31293.9;31926.8;34023.4;36616.1;35285.2;33300.5;29160.4;25660.2;23831.4;28332.8;34152.7;32177.1;36551.7;37196;39678.9;38736.4
L0R819;9367.38;12851.1;8735.98;9145.05;10050.9;9599.59;12904.6;14708.4;13607.4;13185.2;14034;11788.4;10260.7;7581.35;7134.52;6038.23;7208.02;5881.08;9397.49;11799.7;10784.6;12746.1;9501.8;7178.42
O00115;69195;70435.6;31802.9;40777.6;38299.3;51572;148674;202344;125297;114386;171804;128172;48408.5;43352;24111.8;26678.7;34324.4;37010.6;124256;137047;161322;134071;122016;136061
O00116;35873.9;35303;32232.9;35108.8;33811.9;35579.3;43814.8;47900.8;43254.7;43001.4;43450;44444.3;50526.6;46517.1;40849.8;43229.6;43024.5;46328.6;59769;63111.7;63701.3;62390;61916.6;65551.3
O00139;20198.2;18762;15783.7;16492.7;17300.2;17032.9;21860.6;18777.8;24677;24577;21512;22529.7;18475.5;17369.3;14236.3;16487.5;16006.2;15190;19648.2;18906.4;19670.4;19681.6;19831.5;21813.9
O00148;537251;574038;441075;399912;390400;497564;576748;662398;577910;602868;630341;637373;492340;522444;451522;396865;402608;454882;616834;587200;606106;616740;622306;634709
O00151;393351;379294;308321;290131;279525;313521;268235;262761;273496;264186;264591;265865;394979;383931;348380;278728;291030;317091;219134;248848;224696;233672;234380;230827
O00154;269580;275591;229830;221876;222445;234698;249114;250213;257315;259113;247919;259326;292294;278063;253891;234701;250330;273191;257790;250117;263227;249838;261130;253687
O00159;63894.5;64915.9;52693.8;58473.6;58988.4;62973.6;46538.1;49476.8;48050;50804;48253.2;50026.4;67984.9;67639.8;56970.9;57071.9;54730.1;60574.5;45883.6;50626.2;51824.3;53645.6;52707;53870.7
O00161;44597.1;50449.2;35361.2;36912.2;37408.3;47359.5;58676.6;49508.3;60357.6;57137;57589.9;58860.1;47806.8;49105.3;32972;29125.6;28658.3;34604.9;40934.4;51378.9;43284.8;46410;44100;41668.4
O00165;33878.7;27580.8;15688.5;14960;18014.2;26782.5;55951.9;46852;66352;29949.3;58326;37350.1;40160.3;38267.9;20529.5;13923.4;17499.8;19745.8;46199.2;56109;88348.5;39092.8;50900.6;46298.4
O00170;167342;166378;112451;95977.7;103626;143929;181009;182765;155286;151404;175346;156003;164436;151592;107544;86836.6;97426.5;114394;149180;162108;151519;145087;161173;152639
O00178;12569.4;12912.5;16044.9;17091.9;15888.3;12676.5;10191.5;6687.04;11127.5;9885.19;8504.14;10807.3;12217.7;12953.2;15293.4;15971.1;13559.9;14654.4;10098.7;8664.63;8886.99;9741.77;9988.66;9989.86
O00186;28645.3;29706.8;24491.4;27515.4;25694.7;26754.6;29733.8;31834.8;29779.3;27827.1;37862.7;27299.3;31795.2;27932.3;25616.2;23488.9;24041.3;25145;33967.8;29012.6;31779.2;30737.7;30278.7;32694.2
O00193;56995.2;60306.9;45507.5;48718.6;45437.7;35149.6;50884.3;67379.8;53206.4;47281;48604.4;46020.6;48677.5;51014.3;37352.7;40498.4;44907.7;37439.8;39862.3;46689.7;49533.1;45581.9;36646.8;39769.1
O00194;16142.1;18180.4;16462.6;20812.6;20655;20823.3;21207.4;20804.2;20973.8;23883.6;17819.7;19667.5;17048.4;18092.3;18125.7;20080.1;19510.5;23742.3;21287.3;23751.9;19608.2;20926.8;25885.3;21635.7
O00203;30737.3;26119.9;20235.2;21697.3;20602.8;21355;26373.4;29415.8;27593.7;27985.2;29298.9;32247.2;25708.9;22460.8;15382.2;20482;19878.8;19892.6;31229.7;28014.2;30846.4;30431.8;32487.7;34792.9
O00213;2221.03;;2256.25;3106.71;2334.66;2083.98;1426.9;;2362.02;1516.25;;1934.01;1446.1;1153.35;1852.64;1381.42;1615.94;1002.56;859.797;;1703.64;;;
O00217;27158.6;26316.7;25829.6;29582.2;27404.2;29080.5;31339;16648.2;29753.2;24742.8;26841.5;27603.6;34172.3;31126.2;30614.9;32201.5;25153;28761.7;29442.8;25262.4;24572.2;24611.4;29926.3;23792.2
O00220;949.746;1293.82;2857.19;2752.01;2157.99;1406.07;;;1547.25;;;;1808.94;2353.97;3108.26;2681.8;3245.6;2291.15;;;;1816.36;;
O00221;9866.78;12081.7;10972.7;11599.4;12943.5;13545.5;7628.46;6073.74;7810.64;9616.06;8747.72;8411.41;11195.6;12176;11128.2;9609.71;10563.3;14464.6;7339.01;6069.92;5642.51;8967.23;8666.82;8209.28
O00231;136274;132782;141509;143669;129879;129600;102396;109420;117308;120719;108914;127042;133448;133260;147952;133736;136078;130487;120914;117375;115485;129768;122419;122617
O00232;71163.3;70697.5;56894.3;60809;53033.9;63850.6;70040.4;76787.4;66379.3;71604.7;82946.9;68975.8;69478.4;67350;52287.8;54645.3;56238.3;63872;86318.5;73044.3;84809.4;72046.7;78499.1;80327.7
O00233;123205;126187;95893.3;106559;115512;115296;161791;208274;137760;132538;166212;143901;133591;128994;110226;109079;120042;116196;132599;147146;151304;146352;137903;152863
O00244;81904;82859.2;78153.7;88441.8;94731.3;81955.6;95509.9;91122.6;84452.7;68229.8;79497;78937.8;81874.1;89773.3;71781.2;81249.7;80275.6;72829.8;69011.1;83099.6;72163.6;82515;60595.3;60300.5
O00255;11708.8;11109.7;8899.87;9158.78;9188.09;10950.7;12332.8;;13642;;12295.3;14609.4;10428.9;11549.6;9253.3;7512.12;10549.6;12522.9;13983.6;19397;;10985.2;9174.9;11430.5
O00264;128920;122294;61362.7;59866;63205.4;94084.8;193118;327845;193452;190811;210331;190782;155401;146001;79958.8;54178.7;64779;94252.6;186038;199359;198903;189490;214558;210671
O00267;17917.7;19861.5;21482;21040.9;21776;20444.6;23656.9;16188.5;23344.9;22968.3;22991.4;22163.4;19611.8;19107.6;21708;19598.6;21886.7;19367.7;19002;19830.8;18526.9;22250.7;22317.6;17800.5
O00268;6614.31;8152.74;4436.64;3725.11;3794.61;4768.02;10851;9031.59;11791;10208.8;10707.1;9408.27;6599.86;5474.06;3443.41;4844.09;6090.79;3134.84;8052.68;9307.46;9760.52;10845.6;9412.1;10539.2
O00273;70863;67880;48628.7;54209.3;54354.1;49341.5;54709;37943.1;52244.7;45697.8;38943.4;50025.1;62859.5;60039.6;51087.8;53306.6;47668;53578;46543.3;52444.8;44311.5;51303.8;48882.2;37196.7
O00291;2786.91;2636.28;1367.68;1897.59;1865.96;2538.67;5277.13;;5133.7;4586.24;1667.12;3466.98;2174.18;1789.35;;1647.68;1232.12;2830.14;2843.65;3313.89;1646.47;3288.58;4283.91;2388.82
O00299;825410;839057;699544;731169;696199;795641;632415;665330;670045;708246;670514;722865;863659;870534;757532;634384;641659;796581;656979;699720;729144;713599;716661;752791
O00303;120680;130020;105233;102235;100675;127253;78098.6;74758.2;85586.7;97940.9;84730.7;98774.6;111737;115824;99350.7;95786.7;107271;120703;103971;96637.4;85815.4;82857.4;87271.4;97575.8
O00330;21311.6;23410.8;16687.2;14249.6;15438.2;14714.9;16739.9;23551.8;21049.1;18598.5;24321.9;20444.8;17404.5;19080.1;18899.8;25358.8;16927.5;13450.9;21114.5;20181.8;23336.4;22774.1;19463.3;24462.6
O00391;22593.6;22370.1;16732.8;16985.9;15520.9;20364.7;21380.9;18700.4;24110;20789.7;24759;23146.2;17443.5;16434.6;13245.4;12865.4;12381.9;14021.7;14940.3;16515.9;16971.9;15045;14263.1;15226.2
O00400;12827.7;14380.8;7812.86;9942.43;9655.91;12135.9;8890.42;11615.8;12128.7;14324.7;10616.5;14275;9836.07;8169.67;7575.71;13323;16028.9;16749.3;16728.9;12710.3;15279.4;16154.6;17830.5;16949
O00401;18305.1;12977.4;19877.7;19286.2;18927.1;18907.7;19844.1;23770.4;17714;20378.4;27982.8;16047.4;11692.3;17727.4;18716.6;20658.7;19236.7;21556.5;16807.4;16835.3;17734.1;17984;18908;20438.3
O00410;164514;171495;173940;175371;175707;166034;109567;108626;125814;135326;121608;133133;159400;162919;170948;179406;169068;171978;139078;122665;134751;125270;127187;134986
O00411;8188.35;9396.84;6346.91;7988.9;7885.88;7337.5;8756.6;4896.05;8705.74;9195.11;9706.25;8916.45;6709.39;9015.12;6762.69;7668.61;6856.5;8837.13;10396.9;8794.17;10418.6;8419.36;9034.88;11485.2
O00422;14529.4;16441.8;13267;14986.4;16332.9;13055.5;17645.2;24728;15295.6;16340;14417.8;18252.4;16103.7;15709.1;13021;13383.7;12822.1;17755.4;14207.8;16098.2;17259.3;16971.3;15783;13173.7
O00423;6798.79;6996.57;4111.54;5597.94;4951.18;7198.58;;;;;6529.08;;6569.23;6984.43;4988.83;4528.99;6174.07;7950.5;5932.68;4476.02;3742.39;3353.66;;3466.34
O00425;30688.3;30431.5;25274.3;26695.2;24877.3;28531.7;41790.3;37960;40444.6;42491.9;41581.9;39777.7;32613.6;33389.1;27998;25373.6;24355.3;29491.8;45344.2;41177.6;38735.8;46289.8;47924.6;43429
O00429;43150.6;42664.1;31362.4;30744.2;30060.9;33701.7;40741.7;36476.1;41954.6;43161;41175.4;46295.7;46744.2;38784.8;33773;34166;32531.4;35772.5;50516.4;40811.4;47208.1;49491.5;49488.8;48715.2
O00442;27846.4;30506.1;20266.2;17123.9;23557.1;26277.3;37045.9;33749;37459.7;39917.4;33353.1;38141.1;31533.1;29312.6;20500;15296.2;17749.2;25935.5;41238.2;47214.6;39890.9;44339.4;44550.5;42829.4
O00443;19877.3;20631.9;17283.1;16114.9;17298.7;17398.7;14690.5;16732.2;14262.2;13992.4;15389.7;17851.9;14278.1;13125.5;16345.5;4708.65;12755.4;14693.4;15841.6;11503.8;13040.3;16169.8;13250.2;13685.5
O00458;4721.59;6594.2;4445.21;7899.88;7701.58;7064.33;10245;9198.88;7967.52;8148.8;4165.87;8125.69;12454.2;12322.3;11687.2;14470.1;14444;13626.9;13832.4;13494.4;14973.8;15519.8;14348.2;14864.6
O00459;7413.31;7102.15;6370.55;4701.9;4821.9;6312.29;8891.64;7470.28;7063.06;5192.77;9374.44;6776.3;5255.88;5849.1;3964.01;4695.74;4620.15;5027.93;8679.48;5529.28;5515.42;4812.33;6008.59;6531.6
O00461;13435.3;14147.3;14593.7;15568.4;15406.3;15421.8;16238.2;13816.2;18215.7;16452.1;17382.2;19518.7;15111.3;14286.5;14022.4;16048.5;15618.3;16326.4;15629.1;15952.8;16589.2;17807.4;16457.8;15978.1
O00468;26642.8;27780.2;23602.8;24010.4;22064.4;23447.6;23403.4;25003.4;24225.8;23465.5;26228.2;24336.2;15496.3;15782.2;13025.2;13140.7;13988.7;14295.1;15906.2;16554.6;17932.3;16795.7;15279.5;14980.6
O00469;43951.2;48473.7;43167.4;37813.1;34985.3;37616.7;115756;111213;114391;111221;110776;107781;19688.8;17677.7;24511.8;19502.5;31222.1;17393.4;50956.6;53212;51001;54257.8;53948.9;40198.6
O00471;22823.5;20356.2;18524.5;18413.3;17697.1;21304.6;15811.3;15951.1;19137.5;18354;16359.7;15044;22701.5;21653.5;17185.2;15953.7;16851.3;18919.9;17419.8;14863.3;15191.1;17798.1;16696.9;16739.1
O00479;49934.9;52278.8;32986.1;34511.7;34066.9;26376;33790.1;32557.4;29136.8;17847.9;32144.7;17187.4;98672.6;54342.4;23139.9;202667;140572;29621.1;10733.6;13236.1;17837.7;26608.6;6987.35;40448.2
O00483;41087.6;37730.9;22056.2;29366.5;28012.2;37820.9;49414.7;59240.4;37681;41275;59129.2;46151.5;41715.8;28259.9;17824.4;18118.5;24855.3;29510.5;41135.3;47261.5;55561.3;49832.4;41012;48090.3
O00487;30378.1;27967.5;36750.8;36524;41546.2;35920.3;91464.6;121769;79298.8;83466.2;110721;89649.4;39908.3;32091.7;30665.7;40248.2;33475.7;38927.2;102593;105182;124452;95223.2;110965;120419
O00488;7367.86;7948.35;6244.54;6941.52;8393.55;7546.12;6346.78;7534.31;5471.22;7398.42;2592.44;5992.16;6329.97;6038.3;4688.05;6442.38;6169.73;6124.65;2980.29;5083.12;4708.25;8128.34;5704.7;6417.56
O00499;21232.2;17632.5;23770.3;24492.2;16062.5;21043.7;18528.7;17385.3;20882;19357.1;18868.4;22018;20994.3;17734.8;14693.2;13570.2;17226.3;19638;17970.3;18392.6;15988.7;22016.4;18787.5;17009.3
O00505;69830.5;66679;44852.8;42948.5;46786.3;63077.4;97356.9;92747.2;87833.7;94049.1;91323.5;86915.8;74489.3;70025;56531.3;41189;48055.6;55732.4;104740;88383.3;95030.7;91062.8;94825;85946.8
O00506;7805.94;5844.01;9533.88;8964.32;10590.2;8789.11;7061.05;4148.39;6470.13;7069.96;3985.82;5956.79;6091.67;4513.62;6919.62;9038.8;9631.4;6625.15;4444.85;3763.19;5305.27;4855.31;4687.41;5027
O00507;;9119.77;;10330.2;;;;4541.63;;2104.58;;;6287.44;;;;11847.8;;2869.18;;6304.4;;2462.82;
O00512;3785.23;3421.99;4406.25;2538.96;3603.93;3266.82;4314.52;;4821.95;3720.81;3516.53;2771.09;3342.2;2872.12;3223.6;2783.72;2571.2;2933.66;3530.02;3479.67;1460.53;3145.81;3436.11;2033.82
O00515;33034.6;18933.1;5436;5665.7;5673.6;5157.33;148104;193595;115955;112831;173831;127661;12976.7;8928.85;8680.52;8009.93;7089.76;16080.2;139425;164404;183806;152833;139487;176091
O00522;4164.89;3976.11;3740.02;2924.87;2349.4;3975.55;7933.88;12219;4272.95;7068.45;7872.82;7084.94;4442.48;2131.99;3175.93;2791.91;2295.83;2897.62;3411.94;7303.57;5818.1;4129.5;7989.32;8248.6
O00541;39218.3;43094.6;33712;37547.6;35345.3;36865.3;62524.8;77783.2;55192.4;62611.4;80613.7;66142.6;42441.9;39603.5;36269;43022.1;38697.9;38042.5;74898;71313.6;76412.8;75109.9;78222;83905.9
O00559;4247.98;3020.63;3576.45;4389.58;3289.57;3250.22;6068.88;;16020;16734.2;8272.17;18421.1;3839.52;3485.82;3324.23;4975.54;3461.32;3041.37;8275.22;13466.7;18442.8;20212.4;31590.6;14094.1
O00560;18778.6;18005.3;22364.1;27233.3;25269.9;27248.9;26599.7;26169.1;24815.5;26307.1;23757.3;26372.8;15466.8;16126.8;19529.8;40505.2;36632.4;31563.6;18496.5;22413.2;19727.9;21514.1;22165.6;20708.1
O00566;24855.6;28302.7;35050;35804.5;37325.1;31832.1;30489.2;35113;26312.6;40636.3;29332.3;25926.5;23670.2;26495.6;38693.7;38294.7;39388.2;39801.4;28336.8;30898.4;34201.2;35151.6;34769.2;32323.6
O00567;61851.2;60175.4;55063.9;54284;53223.2;61918.2;80422.5;81731.5;79753.6;83444.9;78972.9;80244.7;68897.9;66398.7;61516.3;59065.1;62769.6;67438;90476.6;93051.9;91167.7;97371.6;94143.1;96905
O00571;143192;149490;149079;153480;160017;155764;179075;282182;170740;165195;249346;157064;145112;138362;150323;155402;149747;149644;153933;181642;182631;160939;175903;216111
O00584;9682.73;8326.83;6177.12;5532.37;5707.1;8934.09;7707.48;;10420.5;5633.84;4017.12;5290.57;5877.22;6832.13;5267.23;2973.07;3662.01;6932.39;3877.25;3359.19;6495.83;8137.77;8092.56;8319.11
O00592;94101;90726.6;95228.4;100951;109220;101192;140139;154437;144517;137701;127005;150334;138753;110269;102677;145294;156774;142814;161237;178460;167609;165298;160751;197226
O00622;26549.7;27639.4;14143.1;13014.9;10018.9;12832.6;78359.2;122730;83979.1;87278.5;92190.1;74465.9;16659.4;13683.5;9883.74;6712.55;4312.67;5424.6;23168.4;27903;20634;18220.6;24366.3;30396.6
O00625;26111.9;26193.9;21032.5;19071.7;19302.6;24817.8;29387.2;27992.9;29565.6;28317.3;30131.9;26030.7;26046.4;25548.5;24161.1;19598;20159.9;21219.4;26345.8;26321.6;27297.6;30421.5;27619;30353.3
O00629;128894;127535;135978;133435;132246;135986;100219;72949.5;98902.1;93130;87667.5;104961;124812;133801;135726;135275;134749;140121;90143.8;94367.8;82627.1;88921;96441.5;83047.8
O00712;27349;28981.3;24560.3;20778;20837.3;31627;36525.3;26596.6;33715.4;27880.8;25435.8;25396.7;28190.2;24148.5;23831.1;16190.5;18032.4;22439.8;20577.8;29786.9;26258;31823.4;25280.9;26736
O00743;38096.9;40902.6;40406.5;41198.4;41816;42407.7;24505.7;27186.7;28523.7;31782.3;22608.6;32264.2;34334.1;35003.6;34687.7;35549.5;37835.6;44170.5;29890.2;24853.2;30408.4;32435;30812.8;33789.6
O00750;11938;9812.81;8892.78;9710.43;7952.77;6810.78;10501.6;12156.6;10938.8;11521.9;15825.8;8214.32;9200.99;8554.49;8554.19;8091.6;6237.4;7182.03;13178.2;11956.3;14905.8;13558.5;12703.2;10358.9
O00754;27594.3;25665.7;25900.9;28714.8;26016;29053.3;16769.9;13443.2;16905.5;15058.7;15749.3;15051.9;21659.6;23151.3;19848;24887.8;26676.1;29275.2;13053.6;12151.3;11970.9;14394;15719.1;12935.9
O00757;18533.9;15082.8;4108.4;5117.14;3812.59;10813.1;39063;41114.1;35957.7;35669.8;44001;38345.8;20771.4;16089.3;3457.43;2617.1;1845;5584.06;31850;41763.2;31346.8;38783.3;42748.2;44618.5
O00762;14134.4;15596;11269.6;13570.7;14351.8;16655.5;10624.1;9355.77;14165.3;15275.8;11739;14207.3;6709.54;5731.88;3639.31;6753.12;5236.86;5273.98;2483.53;6089.35;4914.9;5472.78;7178.89;
O00764;76803.4;74057.1;83752.2;88914.4;94815.8;86916.3;77419.2;62078.4;80141.9;82631.7;78258.8;82860.1;78159.9;90548.2;84074.3;103285;90544.2;87415.5;87648.3;79058.7;89673.3;87639.8;92239.2;91955.9
O00767;4061.06;4380.65;4848.56;5824.64;4931.74;4543.29;;;;;;;1481.38;1929.26;;2073.32;2950.28;1527.54;;;;;;
O14495;39037.8;31000.1;23220.3;13395.7;19347.9;30909;22723.5;31572;22122.7;22012.4;23020.4;21205.6;14057;13989.1;6827.5;8819.17;8091.43;9464.06;9815.23;8092.08;;8295.9;8852.62;
O14497;9103.45;9648.34;9569.6;10579.9;10471.4;8882.6;8924.78;6583.65;8798.05;8129.35;7377.36;9147.94;8300.82;7891.52;9453.15;11286.7;10118.5;8712.91;6855.45;6266.31;7259.45;6821.47;5949.83;6326.83
O14523;4540.26;3233.87;3785.32;3800.96;4350.34;4377.17;3895.8;5840.33;4995.12;3293.11;2934.25;3682.57;3876.51;5747.38;3679.62;3213.6;3630.09;4742.36;3773.04;4268.88;3561.6;3472.62;4352.3;1223.36
